architecture,block_size,bw_mib_s_mean,bw_mib_s_std,p99_lat_us_mean,p99_lat_us_std
ppc64le,4k,25.366631603240968,1.2285723283334415,161.9968,9.567080743651932
ppc64le,64k,390.3719250679016,21.187855121950104,199.2704,40.818100873672876
ppc64le,1M,2934.146467590332,444.8854270655048,395.264,67.33183934976248
ppc64le,4M,4809.438111877442,620.7423999295988,906.8543999999999,186.53871351021067
Consumer Laptop,4k,16.86193952560425,3.653416116309243,397.9264,71.20740204220346
Consumer Laptop,64k,232.9659062385559,51.647052531327105,2687.5904,4500.000624419986
Consumer Laptop,1M,1441.948507118225,310.96836650067945,5393.6128,5263.256686992967
Consumer Laptop,4M,1801.4878526687621,918.578621020745,14096.7936,8607.10014475175
